Video ID,User Name,Comment
7XFSkk-FtYw,A1a8l0h5a9d8,I miss those days I wish I could go back then in time and relive all these years again having my present conciousness
7XFSkk-FtYw,Rohit Bishnoi,Promoting 4k by uploading a 360p video
7XFSkk-FtYw,Steve Skrobot,"Where do they get this &#39;Tip &amp; Run&#39;?  its always been &#39;Nik &amp; Run&#39;!! You dont say tip behind, or &#39;he tipped off!! You say &#39;He nikked it off&#39; or Nik behind!  Nik &amp; Run, get it right Isa, you silly pommie!"
7XFSkk-FtYw,Mehedi Hasan,Best  movie i&#39;ve ever seen
7XFSkk-FtYw,Mehedi Hasan,Fox CRICKET is the best❤🏏❤❤
7XFSkk-FtYw,Ian Gilliver,But....only if you are prepared to pay for it.  And now Australian Cricket is in financial strife. I hope the idiot who negotiated this never works in sport again. Oh thats right...he has already been sacked.   Free to air or f..k off Fox Cricket
7XFSkk-FtYw,southpawlibra nine,Cringe
7XFSkk-FtYw,Jack Bollingmoore,"good riddance, All hail! Foxtel<br>Channel 7 is the biggest loser"
7XFSkk-FtYw,Arihant Jain,"<a href=""https://www.youtube.com/watch?v=7XFSkk-FtYw&amp;t=3m27s"">3:27</a> bit harsh only a young kid"
7XFSkk-FtYw,Kylie Louise,WELL DONE U JUST TOOK CRICKET AWAY FROM 80% OF AUSTRLAIA!
7XFSkk-FtYw,Stacey Kidd,Yeah but it’s not free “it’s just not cricket”
7XFSkk-FtYw,2S7V7N3,Hahahahahaha what a joke
W_1bpHPMa2A,Varun Kapoor,Awesome
W_1bpHPMa2A,AS,I am surprised no one noticed Ravi Shashtris lipstick
W_1bpHPMa2A,Sick Pup,"Eh its not the Ashes, its competitive but THE rivalry is the Ashes."
W_1bpHPMa2A,Shounak Gupte,"This shows cricketers are good actors, playing for country is nothing  Only Money is Important creating a stage for money, Cricket now days is Like WWF"
W_1bpHPMa2A,Prateek Sharma,Whybdidnt you publish the complete video even after the series got over?
