Video ID,Video Title,Published Date,Published Time,Views Count,Comments Count,Likes Count,Hashtags,Is Private
7XFSkk-FtYw,Fox Cricket: Behind the Scenes,2018-11-07,00:47:49Z,24315,13,423,"['fox sports', 'australia', 'sports', 'cricket', 'Foxcricket', 'summer']",False
W_1bpHPMa2A,"2 Nations, 1 Obsession",2018-11-20,06:26:15Z,21164,40,462,"['fox sports', 'australia', 'sports', 'cricket', 'India', 'foxcricket']",False
n3wBE22Kuvc,Would You Rather...? with Mitchell Starc and Alyssa Healy,2018-12-28,00:16:32Z,1298832,431,21341,"['fox sports', 'australia', 'sports', 'comedy', 'wouldyourather', 'cricket', 'starc', 'healy']",False
udPy-hc7XPI,Steve Smith | The Cricket Tragic,2019-04-10,22:00:04Z,163450,316,3465,"['fox sports', 'australia', 'sports', 'cricket', 'steve smith', 'south africa', 'india', 'ball tampering', 'smith', 'cricket tragic', 'test', 'tests', 'test match', 'test cricket']",False
HdVgr5F7AtQ,The Gilded Age of Indian Cricket | Cricket Empire | Part 1,2019-05-03,05:10:35Z,14429,7,244,"['fox sports', 'australia', 'sports', 'india', 'cricket', 'india cricket', 'indian cricket', 'cricket india', 'documentary', 'doco', 'sport', 'cricket nation']",False
Z6-drL_ozN8,Jalandhar | Cricket Empire | Part 3,2019-05-21,06:30:01Z,65446,44,1126,"['fox sports', 'australia', 'sports', 'cricket', 'india', 'icc', 'cricket india', 'cricket world cup', 'cwc', 'cwc19', 'ipl']",False
izrnPjwLrS8,Cricket Club of India | Cricket Empire | Part 4,2019-05-28,09:30:04Z,7204,6,157,"['fox sports', 'australia', 'sports', 'cricket', 'india', 'icc', 'cricket world cup', 'world cup', 'cricket club', 'fox cricket', 'cricket empire', 'india cricket empire']",False
AI-_eoUVeHw,Alyssa Healy: The Team Sledger | The Cricket Tragic,2019-07-12,06:11:03Z,27481,4,445,"['fox cricket', 'cricket', 'fox sports australia', 'australia', 'aus', 'fox sports aus', 'bbl', 'big bash', 'big bash league', 'wbbl', 'Tests', 'ODI', 'ODIs', 'cricket tragic', 'southern stars', 'alyssa healy', 'healy']",False
GqPRxZBj0RY,Nic Maddinson | Fox Cricket Features,2019-07-12,05:41:46Z,22999,20,358,"['fox cricket', 'cricket', 'fox sports australia', 'australia', 'aus', 'fox sports aus', 'bbl', 'big bash', 'big bash league', 'wbbl', 'Tests', 'ODI', 'ODIs', 'nic maddinson', 'maddinson', 'rabada']",False
I22_uGyb194,Marcus Stoinis | Fox Cricket Features,2019-07-12,05:01:10Z,98308,69,2016,"['fox cricket', 'cricket', 'fox sports australia', 'australia', 'aus', 'fox sports aus', 'bbl', 'big bash', 'big bash league', 'wbbl', 'Tests', 'ODI', 'ODIs', 'marcus stoinis', 'stoinis', 'marcus', 'feature', 'perth', 'hale', 'hale school']",False
