City,lat,lng,RateofCognizableCrimes
"Agra, India",27.1752554,78.0098161,324.5
"Allahabad, India",25.4381302,81.8338005,339.4
"Amritsar, India",31.6343083,74.8736788,282.9
"Asansol, India",23.6871297,86.9746587,391.3
"Aurangabad, India",24.786306,84.4144898,619.5
"Bhopal, India",23.2584857,77.401989,1000.1
"Chandigarh City, India",30.7482244,76.7869376,234.0
"Dhanbad, India",23.7952809,86.4309638,209.9
"Durg-Bhilainagar, India",22.0,79.0,512.6
"Faridabad, India",28.4031478,77.3105561,695.4
"Gwalior, India",26.2037247,78.1573628,911.3
"Jabalpur, India",23.1608938,79.9497702,962.1
"Jamshedpur, India",22.8015194,86.2029579,221.8
"Jodhpur, India",26.2967719,73.0351433,604.7
"Kannur, India",11.8763836,75.3737973,184.7
"Kollam, India",8.8879509,76.5955013,460.6
"Kota, India",25.1737019,75.8574194,471.2
"Ludhiana, India",30.9090157,75.851601,353.5
"Madurai, India",9.9261153,78.1140983,429.3
"Malappuram, India",11.0428925,76.0807838,118.7
"Meerut, India",28.9826533,77.7081013,386.0
"Nasik, India",20.0112475,73.7902364,194.0
"Raipur, India",21.2380912,81.6336993,526.3
"Rajkot, India",22.3053263,70.8028377,2308.0
"Ranchi, India",23.3700501,85.3250387,328.7
"Srinagar, India",34.0747444,74.8204443,222.5
"Thiruvananthapuram, India",8.4882267,76.947551,338.3
"Thrissur, India",10.5270099,76.214621,384.4
"Tiruchirapalli, India",10.763165,78.7132601,254.8
"Vadodara, India",22.2973142,73.1942567,450.2
"Varanasi, India",25.3356491,83.0076292,398.6
"Vasai Virar, India",19.4210423,72.8197221,420.3
"Vijayawada, India",16.5087573,80.6185089,651.2
"Vishakhapatnam, India",17.68009,83.20161,669.9
