Code Province,Code District,Code Division,Duration (d),Deaths,Injured,Missing,Houses Destroyed,Houses Damaged,Victims,Affected,Relocated,Evacuated,Losses $USD,Losses $Local,Education centers,Hospitals,Damages in crops Ha.,Lost Cattle,Damages in roads Mts,Season,Temp.Avg.Surface Air (C),Precipitation (mm)
lka005,lka005002,lka005002024,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,1-1976,24.82,374.16
lka007,lka007002,lka007002012,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,1-1976,24.82,374.16
lka005,lka005001,lka005001018,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,1-1976,24.82,374.16
lka007,lka007002,lka007002009,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,1-1976,24.82,374.16
lka007,lka007002,lka007002010,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,1-1976,24.82,374.16
lka005,lka005002,lka005002030,0,0.0,0.0,0.0,0.0,2,0,1750,0,0,0,0,0,0,0.0,0,0,1-1976,24.82,374.16
lka005,lka005002,lka005002048,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,1-1976,24.82,374.16
lka003,lka003003,lka003003015,0,0.0,0.0,0.0,0.0,0,0,6000,0,0,0,0,0,0,0.0,0,0,1-1982,24.81,383.73
lka005,lka005002,lka005002018,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,1-1984,24.84,388.92
lka005,lka005002,lka005002042,0,0.0,0.0,0.0,0.0,0,0,325,0,0,0,0,0,0,0.0,0,0,1-1984,24.84,388.92
lka005,lka005001,lka005001036,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,1-1984,24.84,388.92
lka005,lka005002,lka005002033,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,1-1984,24.84,388.92
lka005,lka005002,lka005002036,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,1-1984,24.84,388.92
lka006,lka006002,lka006002015,0,0.0,0.0,0.0,0.0,40,0,200,0,0,0,0,0,0,0.0,0,0,1-1984,24.84,388.92
lka004,lka004004,lka004004003,0,0.0,0.0,0.0,0.0,0,0,3500,0,0,0,0,0,0,0.0,0,0,1-1984,24.84,388.92
lka004,lka004005,lka004005012,0,0.0,0.0,0.0,61.0,49,0,755,0,0,0,0,0,0,0.0,0,0,1-1984,24.84,388.92
lka006,lka006002,lka006002012,0,0.0,0.0,0.0,0.0,0,0,1750,0,0,0,0,0,0,0.0,0,0,1-1984,24.84,388.92
lka007,lka007001,lka007001024,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,1-1984,24.84,388.92
lka007,lka007002,lka007002012,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,1-1984,24.84,388.92
lka005,lka005002,lka005002024,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,1-1984,24.84,388.92
lka005,lka005003,lka005003015,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,1-1984,24.84,388.92
lka005,lka005003,lka005003027,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,1-1984,24.84,388.92
lka005,lka005001,lka005001009,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,1-1984,24.84,388.92
lka005,lka005002,lka005002030,0,0.0,0.0,0.0,1.0,0,0,21,0,0,0,0,0,0,0.0,0,0,1-1984,24.84,388.92
lka005,lka005003,lka005003012,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,1-1984,24.84,388.92
lka004,lka004005,lka004005012,0,0.0,0.0,0.0,0.0,374,0,1870,0,0,0,0,0,0,0.0,0,0,1-1984,24.84,388.92
lka005,lka005003,lka005003030,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,1-1984,24.84,388.92
lka005,lka005002,lka005002033,20,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,1-1984,24.84,388.92
lka007,lka007001,lka007001006,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,1-1984,24.84,388.92
lka005,lka005003,lka005003024,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,1-1984,24.84,388.92
lka007,lka007001,lka007001048,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,1-1984,24.84,388.92
lka007,lka007001,lka007001024,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,1-1984,24.84,388.92
lka005,lka005002,lka005002012,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,1-1984,24.84,388.92
lka005,lka005002,lka005002051,3,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,1-1984,24.84,388.92
lka005,lka005002,lka005002048,3,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,1-1984,24.84,388.92
lka007,lka007001,lka007001024,0,0.0,0.0,0.0,0.0,0,0,107,0,0,0,0,0,0,0.0,0,0,1-1984,24.84,388.92
lka004,lka004003,lka004003009,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,1-1984,24.84,388.92
lka005,lka005002,lka005002051,0,0.0,0.0,0.0,0.0,0,0,90,0,0,0,0,0,0,0.0,0,0,1-1984,24.84,388.92
lka005,lka005002,lka005002036,3,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,1-1984,24.84,388.92
lka007,lka007001,lka007001021,0,0.0,0.0,0.0,0.0,0,0,12500,0,0,0,0,0,0,0.0,0,0,1-1984,24.84,388.92
lka005,lka005002,lka005002009,0,0.0,0.0,0.0,0.0,0,0,200,0,0,0,0,0,0,0.0,0,0,1-1984,24.84,388.92
lka004,lka004005,lka004005012,0,0.0,0.0,0.0,6.0,72,0,845,0,0,0,0,0,0,0.0,0,0,1-1984,24.84,388.92
lka004,lka004005,lka004005012,0,0.0,0.0,0.0,12.0,86,0,1550,0,0,0,0,0,0,0.0,0,0,1-1984,24.84,388.92
lka004,lka004005,lka004005009,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,1-1986,24.88,390.34
lka005,lka005002,lka005002030,0,0.0,0.0,0.0,0.0,4,0,2610,0,0,0,0,0,0,0.0,0,0,1-1986,24.88,390.34
lka004,lka004005,lka004005009,0,0.0,0.0,0.0,20.0,68,0,440,0,0,0,0,0,0,0.0,0,0,1-1986,24.88,390.34
lka004,lka004005,lka004005009,0,0.0,0.0,0.0,3.0,29,0,483,0,0,0,0,0,0,0.0,0,0,1-1986,24.88,390.34
