Serial,Event,Code Province,Code District,Code Division,Date (YMD),Duration (d),Deaths,Injured,Missing,Houses Destroyed,Houses Damaged,Victims,Affected,Relocated,Evacuated,Losses $USD,Losses $Local,Education centers,Hospitals,Damages in crops Ha.,Lost Cattle,Damages in roads Mts
FL2008,FLOOD,lka001,lka001002,lka001002018,2/6/2008,0,0.0,0.0,0.0,0.0,0,0,2100,0,0,0,0,0,0,0.0,0,0
FL2008,FLOOD,lka001,lka001002,lka001002018,2/6/2008,0,0.0,0.0,0.0,0.0,0,0,150,0,0,0,0,0,0,0.0,0,0
FL2008,FLOOD,lka004,lka004001,lka004001003,19/03/2008,0,0.0,0.0,0.0,0.0,8,0,34,0,0,0,0,0,0,0.0,0,0
FL2008,FLOOD,lka004,lka004001,lka004001003,19/03/2008,0,0.0,0.0,0.0,0.0,5,0,21,0,0,0,0,0,0,0.0,0,0
FL2000,FLOOD,lka007,lka007002,,19/11/2000,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0
FL2008,FLOOD,lka004,lka004001,lka004001003,19/03/2008,0,0.0,0.0,0.0,0.0,4,0,13,0,0,0,0,0,0,0.0,0,0
FL2008,FLOOD,lka004,lka004001,lka004001003,19/03/2008,0,0.0,0.0,0.0,0.0,6,0,26,0,0,0,0,0,0,0.0,0,0
FL2008,FLOOD,lka004,lka004001,lka004001003,19/03/2008,0,0.0,0.0,0.0,0.0,13,0,53,0,0,0,0,0,0,0.0,0,0
FL2008,FLOOD,lka004,lka004001,lka004001003,19/03/2008,0,0.0,0.0,0.0,0.0,2,0,8,0,0,0,0,0,0,0.0,0,0
FL1998,FLOOD,lka004,lka004005,lka004005006,15/12/1998,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0
FL2008,FLOOD,lka001,lka001002,lka001002018,2/6/2008,0,0.0,0.0,0.0,0.0,0,0,340,0,0,0,0,0,0,0.0,0,0
FL2007,FLOOD,lka001,lka001001,lka001001027,3/5/2007,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0
FL2008,FLOOD,lka004,lka004001,lka004001003,19/03/2008,0,0.0,0.0,0.0,0.0,5,0,21,0,0,0,0,0,0,0.0,0,0
FL2008,FLOOD,lka004,lka004001,lka004001021,26/03/2008,0,0.0,0.0,0.0,0.0,3,0,7,0,0,0,0,0,0,0.0,0,0
FL2008,FLOOD,lka004,lka004005,lka004005009,10/3/2008,10,0.0,0.0,0.0,0.0,4,0,319,0,0,0,0,0,0,0.0,0,0
FL2008,FLOOD,lka001,lka001002,lka001002018,2/6/2008,0,0.0,0.0,0.0,0.0,0,0,516,0,0,0,0,0,0,0.0,0,0
FL2008,FLOOD,lka003,lka003001,lka003001021,1/6/2008,0,0.0,0.0,0.0,0.0,0,0,5500,0,0,0,0,0,0,0.0,0,0
FL2008,FLOOD,lka001,lka001002,lka001002018,2/6/2008,0,0.0,0.0,0.0,0.0,0,0,500,0,0,0,0,0,0,0.0,0,0
FL2008,FLOOD,lka003,lka003001,lka003001024,1/6/2008,0,0.0,0.0,0.0,0.0,0,0,14722,0,0,0,0,0,0,0.0,0,0
