location,lat,lng
"BMICH, Colombo",6.9011072,79.8736181
"Kaduwela, Sri Lanka",6.9357027,79.9843311
"Narammala, Sri Lanka",7.43073,80.2143788
"Hakmana, Sri Lanka",6.083926,80.6449735
"Colombo, Sri Lanka",6.9388614,79.8542005
"Galle, Sri Lanka",6.0328139,80.214955
"Kurunegala, Sri Lanka",7.4870464,80.364908
"Wattala, Sri Lanka",6.9898705,79.8927094
"Homagama, Sri Lanka",6.8412384,80.0034457
"Malabe, Sri Lanka",6.9040723,79.9546189
"Gampaha, Sri Lanka",7.1190247,79.9159876
"Dehiwala, Sri Lanka",6.8512785,79.8659769
"Kandy, Sri Lanka",7.2931208,80.6350358
"Negombo, Sri Lanka",7.2094282,79.833117
"Avissawella, Sri Lanka",6.9522325,80.2125947
"Ja-Ela, Sri Lanka",7.0793775,79.8907632
"Kelaniya, Sri Lanka",6.9501246,79.9172715
"Rajagiriya, Sri Lanka",6.9095041,79.8962176
"Kottawa, Sri Lanka",6.8430139,79.9655312
"Kadawatha, Sri Lanka",7.0019661,79.9512673
"Mirigama, Sri Lanka",7.2475144,80.1299215
"Minuwangoda, Sri Lanka",7.1692723,79.9484613
"Moratuwa, Sri Lanka",6.7746821,79.8826095
"Anuradhapura, Sri Lanka",8.334985,80.4106096
"Kandana, Sri Lanka",7.0478487,79.8970556
"Piliyandala, Sri Lanka",6.7999509,79.9231171
"Nugegoda, Sri Lanka",6.8699688,79.8882835
"Kotte, Sri Lanka",6.8883219,79.9187415
"Madampe, Sri Lanka",7.4954162,79.8413815
"Ratnapura, Sri Lanka",6.6803691,80.4022975
"Hanwella, Sri Lanka",6.9007264,80.1179588
"Chilaw, Sri Lanka",7.5765074,79.7956755
"Marawila, Sri Lanka",8.4906929,79.9210255
"Koswatta, Sri Lanka",7.3708832,79.8972131
"Bandarawela, Sri Lanka",6.8304821,80.9888204
"Nattandiya, Sri Lanka",7.4118752,79.8652073
"Maharagama, Sri Lanka",6.8472783,79.9266082
"Nittambuwa, Sri Lanka",7.1438625,80.0955957
"Bandaragama, Sri Lanka",6.7145129,79.9889673
"Biyagama, Sri Lanka",6.9444898,79.9905575
"Mathara, Sri Lanka",6.9710775,79.8729406
"Kegalle, Sri Lanka",7.1134446,80.3217395
"Badulla, Sri Lanka",6.9899499,81.0570589
